,0
additional_number_of_scoring,-0.06177297300106458
average_score,0.3638630013457176
review_total_negative_word_counts,-0.38340693678022053
total_number_of_reviews,-0.07338889158189452
review_total_positive_word_counts,0.22029382936243233
total_number_of_reviews_reviewer_has_given,0.0024979729103130183
reviewer_score,1.0
days_since_review,0.002408163742145634
lat,-0.03698417558982808
lng,0.034829010541074755
is_homeland,
nights,
children,-0.014232827791430445
young,-0.02067234156804039
without,-0.05665990342958269
king,0.03671589463983792
premier,0.020603353863220278
standard,-0.060620232116579686
superior,0.04058113199246296
luxury,0.02135438305883619
leisure trip,0.11798596029972244
solo,-0.08322963489188509
view,0.03185330174739013
lat_diff,0.008051570858210679
lng_diff,-0.053374678527871595
positive_location,0.011409902204268229
positive_everything,0.14870575948753792
positive_great location,0.08105979495588063
positive_the location,-0.018510027368570235
positive_good location,-0.03204331871567662
positive_breakfast,0.08212001841610142
positive_friendly staff,0.07005387548011305
positive_staff,0.25269376146699807
positive_location staff,0.02573669345835849
positive_location was good,-0.060045447401760106
positive_everything was perfect,0.0420000750738
positive_comfy bed,0.03554553996001517
positive_perfect location,0.053686955361171365
positive_the staff,0.12757990763713462
positive_location is good,-0.04439837112892698
positive_all,0.13909516505445169
positive_clean,0.08761983369293676
positive_very friendly staff,0.038598808555756495
positive_great breakfast,0.03693120087245271
no_positive,-0.1113423410230605
negative_small room,-0.09736369030204185
negative_breakfast,-0.103374701929154
negative_location,-0.08340002799024528
negative_everything,-0.02623069377832168
negative_price,-0.09453691518164428
negative_small rooms,-0.050797096276566214
negative_very small room,-0.06442953155155728
negative_expensive,-0.04742100076675864
negative_room size,-0.03475572302301434
negative_staff,-0.2508237925493335
negative_the price,-0.06029934901451616
no_negative,-0.02753258879603576
verbosity,-0.1700035797420544
positive_proportion,0.5611147160230621
negative_proportion,-0.5611147160230621
